Name,Condition,Condition(Numeric),Mg,Al,Zn,Mn,Ce,La,Nd,Pr,Sn,Ca,Zr,Ag,Ho,Y,Gd,Cu,Si,Li,Yb,Th,Sb,Ga,Tb,Dy,Fe,UTS,YS,Ductility
Mg-Li-Zn-Y(1),Extrusion,1,84.41,0.00,6.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.26,0.00,0.00,0.00,7.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239,159,20.4
Mg-Li-Zn-Y(2),Extrusion,1,81.29,0.00,9.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.00,0.00,7.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,247,166,17.1
Mg-Al-Ca-Mn,Extrusion,1,92.80,3.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,420,410,5.6
Mg-Sn-Zn-Al(1),Extrusion,1,86.00,8.00,2.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,415,371,9.1
Mg-Gd-Er-Zr,Slow speed Extrusion,1,91.50,8.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,437,403,10.7
Mg-Gd-Zr(1),He + R,1,85.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,375,305,3.5
Mg-Y-Gd-Zr(3),He,1,74.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,353,320,0.4
Mg-Gd-Y-Zn-Zr (2),Cast + T6,5,84.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,3.80,11.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330,300,2
Mg-Gd-Y-Zn-Zr (3),Cast + T6,5,83.60,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,3.80,11.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,310,300,2
Mg-Gd-Y-Zn-Zr (4),Cast + T6,5,82.10,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,3.80,11.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,310,260,12
Mg-Gd-Nd-Zr,Cast + T6,5,82.62,0.00,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,4.10,11.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,361,231,4
Mg-Gd-Ag-Zr,Cast + T6,5,86.50,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350,230,2.3
Mg-Gd-Y-Zn-Zr (5),Cast + T6,5,79.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,1.88,0.00,0.00,18.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,414,293,2.2
Mg-Zn-Ca-La,Extruded + T5,1,82.07,0.00,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.00,0.00,5.66,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,542,473,8
Mg-Y-Zn-Zr(1),Hot Extrusion,1,96.80,0.00,2.50,0.00,0.00,0.40,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,341,325,15
Mg-Gd-Y-Zn-Zr,Hot Extrusion,1,93.94,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,363,317,12
ZK60,Hot Extrusion,1,95.50,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,1.80,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,542,473,8
ZKE600,Extrusion,1,93.50,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324,255,27
ZKE601,Extrusion,1,93.00,0.00,6.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329,260,22
ZKE602,Extrusion,1,92.50,0.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349,314,21
AM30,Extrusion,1,92.00,0.00,6.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349,330,19
TAZ7111,Extrusion,1,96.21,3.40,0.06,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,170,12
TAZ7111(2),Extrusion(400K),1,93.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271,180,14.8
TAZ7111(3),Extrusion(450K),1,93.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,305,240,12
Li0 (ED rotation),Extrusion(500K),1,93.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,318,262,10.4
Li0 (45 rotation),Extrusion,1,96.27,2.62,0.75,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250,177,15
Li0 (TD rotation),Extrusion,1,96.27,2.62,0.75,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228,91,23
Li1 (ED rotation),Extrusion,1,96.27,2.62,0.75,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227,70,16
Li1 (45 rotation),Extrusion,1,95.40,2.52,0.76,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246,168,14
Li1 (TD rotation),Extrusion,1,95.40,2.52,0.76,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227,116,26
Li3 (ED rotation),Extrusion,1,95.40,2.52,0.76,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,243,109,21
Li3 (45 rotation),Extrusion,1,93.33,2.61,0.78,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232,157,18
Li3 (TD rotation),Extrusion,1,93.33,2.61,0.78,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213,101,30
Li5 (ED rotation),Extrusion,1,93.33,2.61,0.78,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233,91,27
Li5 (45 rotation),Extrusion,1,91.62,2.53,0.79,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229,161,18
Li5 (TD rotation),Extrusion,1,91.62,2.53,0.79,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210,112,31
Z6(1),Extrusion,1,91.62,2.53,0.79,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242,113,25
M1,Extrusion + T6 aging,1,93.80,0.00,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,318,275,17.1
M1(1),Extrusion (slow),1,99.01,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,243,183,6.1
ME11,Extrusion (fast),1,99.01,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,261,189,5.3
ME11(1),Extrusion (slow),1,98.19,0.00,0.00,0.95,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300,288,15.6
MW01,Extrusion (fast),1,98.19,0.00,0.00,0.95,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,251,189,18.6
MW01(1),Extrusion (slow),1,98.48,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258,232,15.6
MW11,Extrusion (fast),1,98.48,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,212,133,24.8
MW11 (1),Extrusion (slow),1,97.90,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,248,204,21
MW21,Extrusion (fast),1,97.90,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221,143,28.5
MW21(1),Extrusion (slow),1,97.18,0.00,0.00,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,252,204,21
MN11,Extrusion (fast),1,97.18,0.00,0.00,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227,150,27.8
